ID,Authors,Title,Source title,DOI link,Year,Is the paper actually about ecological integrity?,Is integrity actually calculated?,Geography,Does metric include animals?,Does metric include animal communities?,Environment,Animal groups,Function Metric,Function notes,Notes,Who
8,Angermeier P.L.,Ecological Attributes of Extinction‐Prone Species: Loss of Freshwater Fishes of Virginia; [Atributos ecológicos de las especies proclives a la extinción: la pérdida de los peces de agua dulce de Virginia],Conservation Biology,http://doi.org/10.1046/j.1523-1739.1995.09010143.x,1995,No,-,,-,-,,,,,,Jessalyn/Gavin
101,Grumbine R.E.,What Is Ecosystem Management?; [Qué es manejo del ecosistema?],Conservation Biology,http://doi.org/10.1046/j.1523-1739.1994.08010027.x,1994,Yes,No,,-,-,,,,,,Ana
191,NOSS R.F.,Can We Maintain Biological and Ecological Integrity?,Conservation Biology,http://doi.org/10.1111/j.1523-1739.1990.tb00284.x,1990,Yes,No,,-,-,,,,,,Jamie
21,Beaulne J.; Magnan G.; Garneau M.,Evaluating the potential of testate amoebae as indicators of hydrological conditions in boreal forested peatlands,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2018.01.034,2018,yes,yes,eastern canada bogs,no,no,,,,,amoeba communities,Jessalyn/Gavin
22,Bednaršek N.; Klinger T.; Harvey C.J.; Weisberg S.; McCabe R.M.; Feely R.A.; Newton J.; Tolimieri N.,"New ocean, new needs: Application of pteropod shell dissolution as a biological indicator for marine resource management",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2017.01.025,2017,yes,yes,pelagic ocean,yes,no,,,,,pteropod shell dissolution,Jessalyn/Gavin
25,Bell J.-L.; Boyer J.N.; Crystall S.J.; Nichols W.F.; Pruyn M.,Floristic quality as an indicator of human disturbance in forested wetlands of northern New England,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2017.08.010,2017,yes,yes,northeastern USA swamps,no,no,,,,,floristic quality assessment,Jessalyn/Gavin
26,Belote R.T.; Dietz M.S.; Jenkins C.N.; McKinley P.S.; Irwin G.H.; Fullman T.J.; Leppi J.C.; Aplet G.H.,"Wild, connected, and diverse: Building a more resilient system of protected areas",Ecological Applications,http://doi.org/10.1002/eap.1527,2017,yes,yes,USA,no,no,,,,,human modification of the landscape,Jessalyn/Gavin
27,Bere T.,"Are diatom-based biotic indices developed in eutrophic, organically enriched waters reliable monitoring metrics in clean waters?",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2015.11.008,2016,yes,yes,streams in zimbabwe,no,no,,,,,diatom indeces,Jessalyn/Gavin
28,Bergeron A.; Pellerin S.,Pteridophytes as indicators of urban forest integrity,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2013.10.015,2014,yes,yes,quebec urban ish,no,no,,,,,,Jessalyn/Gavin
118,Jia Y.T.; Chen Y.F.,River health assessment in a large river: Bioindicators of fish population,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2012.10.011,2013,Yes,Yes,Asia,Yes,No,,,,,fish popultaion metrics,Ana
