Parameter,Species,median,l95,u95
omega,Community,0.934,0.842,1
rho.ab,Community,0.871,0.787,0.926
rho.za,Community,0.239,-0.075,0.535
beta0.mu,Community,-2.405,-3.008,-1.742
sigma.beta0,Community,2.683,2.234,3.216
beta0,ROPI,-5.51,-9.948,0.81
beta0,BTPI,-4.679,-6.928,-3.064
beta0,EUCD,-5.431,-9.71,0.542
beta0,MODO,-0.905,-1.492,-0.361
beta0,CONI,-0.81,-1.751,0.39
beta0,COPO,-4.378,-6.132,-2.813
beta0,WTSW,-3.379,-4.67,-2.127
beta0,BCHU,-2.463,-3.525,-1.379
beta0,BTHU,2.871,2.17,3.56
beta0,KILL,-4.656,-6.546,-2.733
beta0,WISN,-4.089,-5.575,-2.784
beta0,SPSA,-4.462,-6.028,-3.033
beta0,BEKI,-3.717,-5.041,-2.091
beta0,LEWO,-3.872,-5.281,-2.614
beta0,ACWO,-5.443,-9.336,1.156
beta0,WISA,-1.377,-2.028,-0.701
beta0,RNSA,-0.687,-1.366,-0.059
beta0,ATTW,-1.827,-2.643,-0.917
beta0,DOWO,-1.218,-2.428,0.096
beta0,HAWO,1.087,0.477,1.677
beta0,NOFL,1.155,0.554,1.772
beta0,ATFL,-5.402,-9.518,0.803
beta0,CAKI,-5.457,-9.551,0.575
beta0,WEKI,-4.069,-5.605,-2.644
beta0,EAKI,-5.244,-9.208,1.784
beta0,OSFL,-1.986,-2.564,-1.317
beta0,WEWP,-0.328,-0.911,0.221
beta0,WIFL,-3.039,-4.199,-1.973
beta0,LEFL,-5.419,-9.433,1.011
beta0,HAFL,-0.742,-1.276,-0.209
beta0,GRFL,-5.281,-9.96,1.308
beta0,DUFL,0.021,-0.534,0.583
beta0,COFL,0.257,-0.23,0.834
beta0,BLPH,-4.874,-6.875,-2.958
beta0,SAPH,-5.464,-9.858,0.548
beta0,GRVI,-5.355,-9.484,1.036
beta0,PLVI,-0.49,-1.047,0.1
beta0,WAVI,1.65,1.074,2.211
beta0,REVI,-5.51,-9.898,0.665
beta0,CAJA,-2.514,-3.345,-1.628
beta0,PIJA,-5.409,-9.275,1.211
beta0,STJA,1.433,0.823,2.06
beta0,BLJA,-5.382,-9.224,0.937
beta0,WOSJ,-4.779,-6.546,-2.981
beta0,CLNU,-0.733,-1.303,-0.17
beta0,BBMA,-3.474,-4.636,-2.336
beta0,AMCR,-1.849,-2.609,-1.084
beta0,CORA,-0.437,-1.112,0.183
beta0,HOLA,-5.357,-9.41,1.346
beta0,TRES,-0.961,-1.644,-0.255
beta0,VGSW,-0.541,-1.176,-0.025
beta0,NRWS,-3.763,-4.995,-2.535
beta0,PUMA,-5.467,-10.344,0.469
beta0,BARS,-3.943,-5.378,-2.312
beta0,CLSW,-3.097,-4.418,-1.615
beta0,BCCH,-3.052,-3.815,-2.334
beta0,MOCH,4.102,3.249,5.071
beta0,JUTI,-5.512,-9.162,1.219
beta0,BUSH,-4.628,-6.602,-2.879
beta0,RBNU,0.771,0.172,1.317
beta0,WBNU,0.691,0.127,1.236
beta0,PYNU,0.3,-0.284,0.87
beta0,BRCR,0.355,-0.332,1.038
beta0,ROWR,-2.158,-2.928,-1.469
beta0,CANW,-3.77,-5.214,-2.465
beta0,HOWR,1.428,0.87,2.024
beta0,BEWR,-5.39,-9.579,0.763
beta0,BGGN,-3.623,-4.827,-2.464
beta0,AMDI,-3.474,-4.592,-2.289
beta0,GCKI,-2.15,-2.949,-1.331
beta0,RCKI,1.01,0.402,1.566
beta0,WEBL,-1.959,-2.699,-1.288
beta0,MOBL,-0.76,-1.387,-0.007
beta0,TOSO,1.179,0.643,1.767
beta0,VEER,-4.196,-5.687,-2.484
beta0,SWTH,-3.359,-4.319,-2.535
beta0,HETH,1.059,0.47,1.573
beta0,AMRO,2.536,1.906,3.144
beta0,GRCA,-3.279,-4.47,-2.083
beta0,SATH,-5.408,-9.78,0.912
beta0,NOMO,-5.289,-9.445,1.06
beta0,EUST,-5.459,-9.188,1.253
beta0,CEDW,-3.062,-4.22,-2.044
beta0,HOSP,-5.296,-9.349,0.833
beta0,EVGR,-1.905,-2.525,-1.21
beta0,PIGR,-2.308,-3.21,-1.128
beta0,HOFI,-2.845,-3.865,-1.748
beta0,CAFI,-2.171,-2.931,-1.483
beta0,RECR,0.058,-0.501,0.61
beta0,PISI,1.208,0.69,1.811
beta0,LEGO,-2.231,-3.035,-1.466
beta0,AMGO,-1.516,-2.397,-0.696
beta0,BTSP,-5.356,-9.343,1.276
beta0,LASP,-4.631,-6.653,-3.103
beta0,CHSP,0.721,0.202,1.337
beta0,BRSP,-3.751,-4.975,-2.59
beta0,FOSP,-4.11,-5.61,-2.8
beta0,DEJU,3.404,2.59,4.178
beta0,WCSP,-3.919,-5.227,-2.74
beta0,VESP,-2.872,-3.649,-2.154
beta0,SAVS,-5.345,-9.517,1.574
beta0,SOSP,-1.987,-2.774,-1.275
beta0,LISP,-1.271,-1.921,-0.714
beta0,GTTO,-0.117,-0.663,0.441
beta0,SPTO,-1.347,-2.044,-0.624
beta0,YBCH,-5.383,-8.981,1.306
beta0,WEME,-4.59,-5.978,-3.356
beta0,BUOR,-4.175,-5.816,-2.672
beta0,RWBL,-2.641,-3.472,-1.8
beta0,BHCO,-1.249,-1.832,-0.671
beta0,BRBL,-4.445,-5.762,-3.16
beta0,COGR,-3.983,-5.41,-2.571
beta0,OVEN,-4.069,-5.273,-2.721
beta0,OCWA,-2.335,-3.196,-1.477
beta0,VIWA,-1.897,-2.547,-1.295
beta0,MGWA,-1.026,-1.697,-0.393
beta0,COYE,-3.762,-5.033,-2.537
beta0,AMRE,-5.42,-9.774,0.871
beta0,YEWA,-1.681,-2.376,-0.923
beta0,YRWA,3.122,2.407,3.819
beta0,GRWA,-5.471,-9.736,1.104
beta0,BTYW,-5.357,-9.313,1.182
beta0,WIWA,-2.447,-3.122,-1.76
beta0,HETA,-5.404,-9.928,0.965
beta0,WETA,1.738,1.081,2.276
beta0,BHGR,-0.845,-1.456,-0.297
beta0,BLGR,-4.694,-6.708,-3.022
beta0,LAZB,-3.82,-4.976,-2.718
beta.PACC10.mu,Community,-0.129,-0.224,-0.026
sigma.beta.PACC10,Community,0.375,0.301,0.464
beta.PACC10,ROPI,-0.136,-0.837,0.615
beta.PACC10,BTPI,-0.249,-0.936,0.403
beta.PACC10,EUCD,-0.151,-0.885,0.565
beta.PACC10,MODO,0.008,-0.252,0.27
beta.PACC10,CONI,-0.26,-0.761,0.273
beta.PACC10,COPO,0.394,-0.133,1.046
beta.PACC10,WTSW,-0.009,-0.649,0.589
beta.PACC10,BCHU,0.003,-0.553,0.502
beta.PACC10,BTHU,-0.267,-0.592,0.066
beta.PACC10,KILL,-0.097,-0.787,0.538
beta.PACC10,WISN,-0.274,-0.915,0.394
beta.PACC10,SPSA,-0.023,-0.631,0.554
beta.PACC10,BEKI,-0.062,-0.691,0.526
beta.PACC10,LEWO,0.405,-0.066,0.838
beta.PACC10,ACWO,-0.13,-0.855,0.577
beta.PACC10,WISA,-0.522,-0.949,-0.097
beta.PACC10,RNSA,-0.193,-0.603,0.301
beta.PACC10,ATTW,-0.294,-0.865,0.324
beta.PACC10,DOWO,0.025,-0.639,0.683
beta.PACC10,HAWO,0.022,-0.382,0.492
beta.PACC10,NOFL,0.056,-0.278,0.402
beta.PACC10,ATFL,-0.144,-0.864,0.543
beta.PACC10,CAKI,-0.111,-0.821,0.589
beta.PACC10,WEKI,-0.114,-0.723,0.495
beta.PACC10,EAKI,-0.149,-0.921,0.594
beta.PACC10,OSFL,0.275,-0.044,0.578
beta.PACC10,WEWP,0.017,-0.228,0.285
beta.PACC10,WIFL,-0.338,-0.922,0.16
beta.PACC10,LEFL,-0.14,-0.88,0.645
beta.PACC10,HAFL,-0.414,-0.791,-0.086
beta.PACC10,GRFL,-0.148,-0.842,0.635
beta.PACC10,DUFL,-0.045,-0.295,0.22
beta.PACC10,COFL,-0.444,-0.759,-0.138
beta.PACC10,BLPH,-0.186,-0.865,0.471
beta.PACC10,SAPH,-0.143,-0.854,0.632
beta.PACC10,GRVI,-0.134,-0.859,0.592
