"Species","PIPO_specialist","Hand.Wing.Index","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
"ROPI","FALSE",45.1,354.2,"Human Modified","3","1","1","Granivore","Terrestrial"
"BTPI","FALSE",36,366.3,"Forest","2","1","1","Granivore","Terrestrial"
"EUCD","FALSE",36.1,149,"Human Modified","3","1","1","Omnivore","Terrestrial"
"MODO","FALSE",36.6,118.9,"Human Modified","3","1","1","Granivore","Terrestrial"
"CONI","FALSE",60.7,79.3,"Grassland","3","3","3","Invertivore","Aerial"
"COPO","FALSE",42.8,48.3,"Shrubland","3","2","3","Invertivore","Generalist"
"WTSW","FALSE",69.8,32.1,"Rock","1","1","3","Invertivore","Aerial"
"BCHU","FALSE",64.4,3.4,"Forest","2","3","1","Nectarivore","Aerial"
"BTHU","TRUE",65.2,3.5,"Forest","2","1","1","Nectarivore","Aerial"
"KILL","FALSE",52.6,96.4,"Wetland","3","3","3","Omnivore","Terrestrial"
"WISN","FALSE",46.5,112.9,"Wetland","3","3","3","Aquatic predator","Terrestrial"
"SPSA","FALSE",47.5,40.4,"Wetland","3","3","3","Aquatic predator","Terrestrial"
"BEKI","TRUE",33.6,148,"Riverine","3","2","3","Aquatic predator","Insessorial"
"LEWO","TRUE",31.4,105.8,"Woodland","2","3","2","Invertivore","Insessorial"
"ACWO","TRUE",28,79.6,"Woodland","2","1","1","Granivore","Insessorial"
"WISA","TRUE",32.2,47.6,"Forest","1","2","2","Invertivore","Insessorial"
"RNSA","FALSE",31.7,48.5,"Woodland","2","3","2","Omnivore","Insessorial"
"ATTW","FALSE",28,65.5,"Forest","1","1","3","Invertivore","Insessorial"
"DOWO","FALSE",27,25.6,"Woodland","2","1","3","Invertivore","Insessorial"
"HAWO","TRUE",25.3,62.7,"Forest","1","1","3","Invertivore","Insessorial"
"NOFL","TRUE",24.3,131.5,"Shrubland","2","2","3","Invertivore","Generalist"
"ATFL","FALSE",20.4,28.2,"Shrubland","2","3","3","Invertivore","Insessorial"
"CAKI","FALSE",31.9,45.6,"Forest","2","3","3","Invertivore","Insessorial"
"WEKI","FALSE",33.2,39.6,"Shrubland","3","3","3","Invertivore","Insessorial"
"EAKI","FALSE",33.3,39.9,"Woodland","2","3","3","Invertivore","Insessorial"
"OSFL","TRUE",37.9,32.1,"Forest","1","3","3","Invertivore","Insessorial"
"WEWP","TRUE",33.5,13.1,"Forest","1","3","3","Invertivore","Insessorial"
"WIFL","FALSE",23.5,13.4,"Shrubland","2","3","3","Invertivore","Insessorial"
"LEFL","TRUE",22.8,10,"Forest","1","3","3","Invertivore","Insessorial"
"HAFL","TRUE",23.1,10.4,"Forest","1","3","3","Invertivore","Insessorial"
