"tax_ord","BirdCode","common_name","species","Detections","sumCount","Priority","Declining","PIPO_associated","PIPO_specialist"
151,"ROPI","Rock Pigeon","Columba livia",0,0,FALSE,TRUE,FALSE,FALSE
158,"BTPI","Band-tailed Pigeon","Patagioenas fasciata",1,5,FALSE,TRUE,FALSE,FALSE
167,"EUCD","Eurasian Collared-Dove","Streptopelia decaocto",0,0,FALSE,FALSE,FALSE,FALSE
200,"MODO","Mourning Dove","Zenaida macroura",247,962,FALSE,TRUE,TRUE,FALSE
231,"CONI","Common Nighthawk","Chordeiles minor",37,129,FALSE,TRUE,TRUE,FALSE
234,"COPO","Common Poorwill","Phalaenoptilus nuttallii",2,11,FALSE,FALSE,FALSE,FALSE
278,"WTSW","White-throated Swift","Aeronautes saxatalis",5,19,FALSE,FALSE,FALSE,FALSE
335,"BCHU","Black-chinned Hummingbird","Archilochus alexandri",15,51,FALSE,FALSE,FALSE,FALSE
344,"BTHU","Broad-tailed Hummingbird","Selasphorus platycercus",1649,7643,FALSE,FALSE,TRUE,TRUE
459,"KILL","Killdeer","Charadrius vociferus",1,2,FALSE,TRUE,FALSE,FALSE
520,"WISN","Wilson's Snipe","Gallinago delicata",3,6,FALSE,FALSE,FALSE,FALSE
523,"SPSA","Spotted Sandpiper","Actitis macularius",4,15,FALSE,TRUE,FALSE,FALSE
911,"BEKI","Belted Kingfisher","Megaceryle alcyon",3,4,FALSE,TRUE,TRUE,TRUE
939,"LEWO","Lewis's Woodpecker","Melanerpes lewis",8,12,TRUE,TRUE,TRUE,TRUE
943,"ACWO","Acorn Woodpecker","Melanerpes formicivorus",0,0,FALSE,FALSE,TRUE,TRUE
957,"WISA","Williamson's Sapsucker","Sphyrapicus thyroideus",111,398,FALSE,FALSE,TRUE,TRUE
959,"RNSA","Red-naped Sapsucker","Sphyrapicus nuchalis",143,471,FALSE,FALSE,TRUE,FALSE
962,"ATTW","American Three-toed Woodpecker","Picoides dorsalis",33,147,TRUE,FALSE,FALSE,FALSE
965,"DOWO","Downy Woodpecker","Dryobates pubescens",20,89,FALSE,FALSE,FALSE,FALSE
969,"HAWO","Hairy Woodpecker","Dryobates villosus",449,1551,TRUE,FALSE,TRUE,TRUE
981,"NOFL","Northern Flicker","Colaptes auratus",441,1649,FALSE,TRUE,TRUE,TRUE
1251,"ATFL","Ash-throated Flycatcher","Myiarchus cinerascens",0,0,FALSE,FALSE,FALSE,FALSE
1279,"CAKI","Cassin's Kingbird","Tyrannus vociferans",0,0,FALSE,FALSE,FALSE,FALSE
1281,"WEKI","Western Kingbird","Tyrannus verticalis",3,5,FALSE,FALSE,FALSE,FALSE
1282,"EAKI","Eastern Kingbird","Tyrannus tyrannus",0,0,FALSE,TRUE,FALSE,FALSE
1295,"OSFL","Olive-sided Flycatcher","Contopus cooperi",126,316,TRUE,TRUE,TRUE,TRUE
1299,"WEWP","Western Wood-Pewee","Contopus sordidulus",410,1566,FALSE,TRUE,TRUE,TRUE
1309,"WIFL","Willow Flycatcher","Empidonax traillii",9,39,TRUE,TRUE,FALSE,FALSE
1311,"LEFL","Least Flycatcher","Empidonax minimus",0,0,FALSE,TRUE,TRUE,TRUE
1312,"HAFL","Hammond's Flycatcher","Empidonax hammondii",253,645,FALSE,FALSE,TRUE,TRUE
1313,"GRFL","Gray Flycatcher","Empidonax wrightii",0,0,FALSE,FALSE,FALSE,FALSE
1314,"DUFL","Dusky Flycatcher","Empidonax oberholseri",453,1837,FALSE,FALSE,TRUE,FALSE
1317,"COFL","Cordilleran Flycatcher","Empidonax occidentalis",489,2216,FALSE,FALSE,TRUE,FALSE
1321,"BLPH","Black Phoebe","Sayornis nigricans",1,1,FALSE,FALSE,TRUE,TRUE
1323,"SAPH","Say's Phoebe","Sayornis saya",0,0,FALSE,FALSE,FALSE,FALSE
